temp_id	state	age	gender	ethnicity	marital	children	education	income
1	Kentucky	36-45	F	White/Other	Single	2	Grad School	> 125K
2	New Jersey	18-25	M	White/Other	Single	1	College	50K-75K
3	Kansas		M	Hispanic	Single	1		30K-40K
4	Alabama	18-25	F	White/Other	Single	0		40K-50K
5	Wisconsin	36-45	M	White/Other	Single	1	High School	> 125K
6	Washington	66+	M	White/Other	Single	0		20K-30K
7	Maryland	46-55	M	African American	Married	1		15K-20K
8	Minnesota		M	White/Other	Married	0		50K-75K
9	Arizona		F	White/Other	Single	1		50K-75K
10	Georgia	46-55	F	White/Other	Married	0	Grad School	> 125K
11	Washington	36-45	F	White/Other	Married	0	College	50K-75K
12	Colorado	46-55	M	White/Other	Married	4	College	75K-100K
13	Georgia	66+	M	White/Other	Married	0	High School	40K-50K
14	North Carolina	56-65	F	White/Other	Married	1		30K-40K
15	Michigan	56-65	F	White/Other	Married	0	College	50K-75K
16	New York	66+	F	Asian	Single	0	College	40K-50K
17	Indiana		F	White/Other	Married	3		> 125K
18	Ohio	46-55	F	African American	Married	1	High School	40K-50K
19	Texas	66+	M	White/Other	Married	0	Grad School	100K-125K
20	Texas	66+	M	White/Other	Married	0	College	< 15K
21	South Carolina	66+	F	White/Other	Married	1		50K-75K
22	Texas			Hispanic	Single	0		< 15K
23	Ohio	66+	F	White/Other	Married	1		75K-100K
24	Arkansas	66+	M	White/Other	Married	2	Grad School	75K-100K
25	Minnesota	36-45	F	White/Other	Married	0	College	15K-20K
26	California	46-55	M	Asian	Married	2		75K-100K
27	Missouri		M	African American	Single	0		< 15K
28	Louisiana	66+	F	White/Other	Married	0		50K-75K
29	Massachusetts	18-25	M	Hispanic	Married	1		75K-100K
30	Michigan	26-35	M	White/Other	Single	0	College	20K-30K
31	Tennessee	46-55	M	White/Other	Married	0	High School	40K-50K
32	Florida		F	Hispanic	Single	0		< 15K
33	Ohio	36-45	F	White/Other	Married	1	High School	75K-100K
34	Pennsylvania	46-55	F	White/Other	Married	1	High School	100K-125K
35	Alabama	66+	M	White/Other	Single	1		20K-30K
36	New Jersey	36-45	F	White/Other	Married	0	High School	50K-75K
37	Iowa		F	White/Other	Married	1	High School	40K-50K
38	Tennessee	66+	M	White/Other	Single	0		50K-75K
39	California	66+	F	Hispanic	Married	0	College	40K-50K
40	Nevada	66+	F	White/Other	Single	2		100K-125K
41	Florida	26-35	F	White/Other	Married	1	High School	30K-40K
42	Illinois		M	Hispanic	Single	1		50K-75K
43	Maryland	66+	M	White/Other	Married	1	High School	50K-75K
44	Oregon	46-55	M	White/Other	Single	0	College	20K-30K
45	New Jersey	36-45	F	White/Other	Married	3	College	50K-75K
46	Ohio		M	White/Other	Single	0		20K-30K
47	Illinois	66+	M	White/Other	Single	0	High School	20K-30K
48	Mississippi	66+	M	African American	Married	0	College	20K-30K
49	Arizona	66+	M	White/Other	Married	1	High School	50K-75K
50	California	26-35	M	Hispanic	Married	0	High School	< 15K
51	Arizona	26-35	M	White/Other	Single	2		50K-75K
52	Texas		M	Hispanic	Single	0		< 15K
53	North Carolina	26-35	M	White/Other	Married	0	High School	> 125K
54	New York	66+	F	Hispanic	Single	0		< 15K
55	Idaho		M	White/Other	Single	0		50K-75K
56	New Jersey	66+	F	White/Other	Married	0	High School	40K-50K
57	California			Hispanic	Single	3		40K-50K
58	Massachusetts	26-35	F	White/Other	Single	0	College	> 125K
59	Virginia	66+	F	White/Other	Married	1		> 125K
60	Missouri	36-45	M	White/Other	Married	0	High School	50K-75K
61	Georgia	66+	F	White/Other	Single	0	High School	75K-100K
62	Massachusetts	36-45	F	White/Other	Married	0	High School	50K-75K
63	Michigan	66+	F	African American	Single	0		< 15K
64	Iowa	46-55	F	White/Other	Married	2		75K-100K
65	Michigan	36-45	M	African American	Single	0	High School	< 15K
66	California		M	White/Other	Single	0	College	20K-30K
67	Hawaii	56-65	M	White/Other	Single	1	High School	40K-50K
68	New Jersey			White/Other	Single	1		20K-30K
69	Idaho		M	White/Other	Single	0		20K-30K
70	California		F	White/Other	Single	0		> 125K
71	Nevada	46-55	F	White/Other	Single	0		< 15K
72	New Jersey	56-65	F	White/Other	Married	1	College	50K-75K
73	Massachusetts		F	White/Other	Married	1		75K-100K
74	Texas	56-65	F	Hispanic	Married	1		50K-75K
75	Wisconsin	56-65	M	White/Other	Married	0	High School	100K-125K
76	Alabama	56-65	M	White/Other	Married	2	Grad School	> 125K
77	Maryland	66+	F	African American	Single	0		50K-75K
78	California	66+	F	White/Other	Married	0	High School	50K-75K
79	Oregon		F	White/Other	Single	0		30K-40K
80	Wisconsin	18-25	M	African American	Single	2	High School	50K-75K
81	Ohio	26-35	M	White/Other	Married	0	High School	100K-125K
82	Colorado	26-35	F	White/Other	Single	0	College	40K-50K
83	Massachusetts	56-65	F	White/Other	Married	0	Grad School	40K-50K
84	Maryland	46-55	M	White/Other	Married	0	High School	75K-100K
85	California	26-35	M	White/Other	Single	1	High School	75K-100K
86	Arkansas	46-55	M	White/Other	Single	1	College	75K-100K
87	Texas	66+	M	African American	Single	0	College	30K-40K
88	Louisiana	18-25	F	White/Other	Married	1	High School	20K-30K
89	Colorado	56-65	F	White/Other	Single	1	Grad School	20K-30K
90	Kansas	26-35	F	White/Other	Single	0	High School	75K-100K
91	California	26-35	F	White/Other	Single	1	High School	20K-30K
92	California	26-35	F	White/Other	Single	0	High School	< 15K
93	Georgia	46-55	M	White/Other	Married	0	High School	75K-100K
94	California			White/Other	Single	0		< 15K
95	Virginia	46-55	F	White/Other	Married	0	Grad School	50K-75K
96	Texas		F	White/Other	Single	0		50K-75K
97	Texas		M	White/Other	Single	0		20K-30K
98	Ohio	56-65	F	White/Other	Married	0	High School	50K-75K
99	Iowa	26-35	M	White/Other	Single	1	College	75K-100K
100	Mississippi	46-55	F	White/Other	Married	2	High School	> 125K
101	Massachusetts	66+	F	White/Other	Married	0	College	20K-30K
102	Pennsylvania		F	White/Other	Single	0		30K-40K
103	California	46-55	F	Hispanic	Married	2	College	20K-30K
104	North Carolina		F	Hispanic	Single	0		20K-30K
105	Florida	56-65	F	White/Other	Married	1	High School	75K-100K
106	Indiana	26-35	F	White/Other	Married	1		50K-75K
107	Texas	46-55	M	White/Other	Single	1	High School	15K-20K
108	Ohio	46-55	M	White/Other	Single	1	High School	50K-75K
109	Michigan	46-55	M	White/Other	Single	1	College	50K-75K
110	Alabama	36-45	F	Asian	Single	1		75K-100K
111	Virginia	56-65	F	White/Other	Single	1	High School	< 15K
112	California	46-55	M	White/Other	Single	0	High School	75K-100K
113	Mississippi	36-45	M	White/Other	Married	1	College	> 125K
114	Florida	66+	M	White/Other	Single	0	High School	15K-20K
115	Massachusetts			White/Other	Married	2		40K-50K
