temp_id	state	age	gender	ethnicity	marital	children	education	income
1	Georgia	66+	M	Asian	Married	0	College	> 125K
2	Texas	66+	F	African American	Married	1	Grad School	50K-75K
3	Wisconsin			White/Other	Married	2		> 125K
4	West Virginia	66+	F	White/Other	Married	0	College	40K-50K
5	Texas	66+	M	Hispanic	Married	0	Grad School	30K-40K
6	Virginia	46-55	F	White/Other	Married	2	High School	75K-100K
7	Missouri	56-65	M	White/Other	Single	1	College	75K-100K
8	New Jersey	66+	F	White/Other	Married	1	College	20K-30K
9	New York	66+	M	White/Other	Married	0	College	100K-125K
10	Texas	66+	M	White/Other	Single	0	Grad School	< 15K
11	South Carolina	66+	F	White/Other	Married	0	Grad School	20K-30K
12	Florida	36-45	F	White/Other	Single	1	High School	15K-20K
13	Michigan	26-35	F	White/Other	Married	1	High School	> 125K
14	Florida			African American	Married	2		> 125K
15	Virginia	46-55	M	Hispanic	Married	1		40K-50K
16	Ohio	56-65	F	White/Other	Married	0	High School	50K-75K
17	North Carolina	26-35	M	White/Other	Married	2	College	30K-40K
18	Michigan		M	White/Other	Married	0		40K-50K
19	Texas	66+	F	White/Other	Married	0	College	30K-40K
20	Michigan	56-65	M	White/Other	Single	2	College	75K-100K
21	Maryland	66+	M	White/Other	Married	0	College	40K-50K
22	North Carolina	66+	F	White/Other	Married	0	College	40K-50K
23	New York	56-65	M	Hispanic	Married	2		> 125K
24	Texas	46-55	M	African American	Married	0		30K-40K
25	North Carolina	46-55	F	African American	Married	3	High School	20K-30K
26	North Carolina	56-65	F	White/Other	Married	0	High School	30K-40K
27	Virginia	56-65	F	African American	Single	1	College	20K-30K
28	Michigan	36-45	F	White/Other	Single	1	High School	20K-30K
29	Georgia	36-45	M	White/Other	Single	0	College	50K-75K
30	Texas	18-25	M	White/Other	Single	2		75K-100K
31	Pennsylvania	46-55	F	White/Other	Married	0	High School	> 125K
32	Florida	46-55	F	White/Other	Married	1	College	100K-125K
33	Nebraska	18-25	F	White/Other	Single	1	High School	75K-100K
34	Tennessee	46-55	F	White/Other	Married	0	High School	40K-50K
35	Pennsylvania	36-45	F	White/Other	Married	0	High School	100K-125K
36	Texas	36-45	F	Hispanic	Married	3	College	> 125K
37	Texas	66+	M	Hispanic	Married	1	High School	40K-50K
38	Connecticut	56-65	F	White/Other	Married	1	Grad School	100K-125K
39	Georgia	46-55	M	White/Other	Single	1	High School	100K-125K
40	Oklahoma	66+	M	White/Other	Married	3	College	50K-75K
41	Michigan		M	White/Other	Married	0	High School	20K-30K
42	Wisconsin	56-65	M	White/Other	Married	1	High School	> 125K
43	South Carolina	46-55	M	White/Other	Married	2	Grad School	100K-125K
44	Texas	46-55	M	White/Other	Single	1	High School	50K-75K
45	Iowa	56-65	F	White/Other	Married	2	High School	50K-75K
46	Michigan	66+	M	White/Other	Married	0	High School	< 15K
47	Florida	66+	M	White/Other	Married	0	College	100K-125K
48	Ohio			White/Other	Married	2		40K-50K
49	California	46-55	F	White/Other	Single	1		50K-75K
50	North Carolina	36-45	F	African American	Single	0	College	75K-100K
51	Arkansas	66+	M	White/Other	Married	0	College	> 125K
52	Pennsylvania	66+	M	White/Other	Married	1	College	75K-100K
53	Texas	36-45	F	Asian	Married	1	College	< 15K
54	North Carolina	66+	F	White/Other	Single	0		15K-20K
55	Ohio	36-45	F	African American	Married	2		15K-20K
56	Florida	56-65	M	White/Other	Single	1	College	50K-75K
57	Florida	66+	M	White/Other	Married	0	High School	50K-75K
58	California	36-45	F	White/Other	Married	3	High School	50K-75K
59	Mississippi	46-55	M	African American	Single	3	College	100K-125K
60	Iowa	56-65	M	White/Other	Married	0	Grad School	100K-125K
61	California	66+	F	Hispanic	Married	0	College	50K-75K
62	Texas	66+	M	White/Other	Married	0	College	50K-75K
63	New York	66+	F	White/Other	Married	0		50K-75K
64	Texas	26-35	M	Hispanic	Single	1	High School	< 15K
65	Illinois	66+	F	White/Other	Married	2		75K-100K
66	Michigan	66+	M	White/Other	Married	0	Grad School	50K-75K
67	Pennsylvania	66+	M	White/Other	Married	0	High School	20K-30K
68	Indiana	56-65	F	White/Other	Single	1	High School	50K-75K
69	Virginia	56-65	F	White/Other	Married	0		50K-75K
70	New York	66+	F	White/Other	Married	0	High School	30K-40K
71	Texas	56-65	M	White/Other	Married	1	Grad School	> 125K
72	Massachusetts	18-25	F	White/Other	Married	0		> 125K
73	Florida	36-45	M	White/Other	Married	1	College	30K-40K
74	Minnesota	66+	F	White/Other	Single	0		50K-75K
